Start of log file. Seed: 1680644221
Day 1: 
ExxonMobil - Price: 100.720001     Price change: 0.720001% 
Boeing - Price: 17437.236328     Price change: 0.980000% 
Duke Energy - Price: 44339.468750     Price change: -2.169998% 
UnitedHealth Group - Price: 58864.425781     Price change: 1.279999% 
JPMorgan Chase - Price: 53244.695312     Price change: 2.489999% 
McDonalds - Price: 106594.593750     Price change: 5.200003% 
Coca-Cola - Price: 64080.789062     Price change: 0.830000% 
Microsoft - Price: 44874.996094     Price change: 2.020002% 
AT&T - Price: 95459.648438     Price change: 0.880002% 
Day 665: 
ExxonMobil - Price: 49802.089844     Price change: 0.370003% 
Shermin-Williams - Price: 70886.750000     Price change: 3.800004% 
Boeing - Price: 17475.597656     Price change: 0.219997% 
Duke Energy - Price: 45580.972656     Price change: 2.799997% 
UnitedHealth Group - Price: 59029.246094     Price change: 0.280000% 
JPMorgan Chase - Price: 53729.222656     Price change: 0.910001% 
McDonalds - Price: 109376.710938     Price change: 2.609998% 
Coca-Cola - Price: 64670.332031     Price change: 0.920000% 
Microsoft - Price: 45287.847656     Price change: 0.920004% 
AT&T - Price: 97359.296875     Price change: 1.990002% 
Day 666: 
ExxonMobil - Price: 50449.515625     Price change: 1.299997% 
Shermin-Williams - Price: 70964.726562     Price change: 0.110002% 
Boeing - Price: 17323.560547     Price change: -0.869997% 
Duke Energy - Price: 46383.199219     Price change: 1.760003% 
UnitedHealth Group - Price: 59619.539062     Price change: 1.000001% 
JPMorgan Chase - Price: 54030.105469     Price change: 0.559998% 
McDonalds - Price: 109978.281250     Price change: 0.549999% 
Coca-Cola - Price: 64456.921875     Price change: -0.329997% 
Microsoft - Price: 45373.894531     Price change: 0.190000% 
AT&T - Price: 98654.171875     Price change: 1.329996% 
Day 667: 
ExxonMobil - Price: 50333.480469     Price change: -0.230003% 
Shermin-Williams - Price: 70304.757812     Price change: -0.929995% 
Boeing - Price: 17266.392578     Price change: -0.330001% 
Duke Energy - Price: 46851.667969     Price change: 1.009997% 
UnitedHealth Group - Price: 59500.300781     Price change: -0.199999% 
JPMorgan Chase - Price: 53684.312500     Price change: -0.640001% 
McDonalds - Price: 108889.500000     Price change: -0.989997% 
Coca-Cola - Price: 67782.898438     Price change: 5.159999% 
Microsoft - Price: 47161.625000     Price change: 3.939998% 
AT&T - Price: 101436.218750     Price change: 2.819999% 
Day 668: 
ExxonMobil - Price: 52155.550781     Price change: 3.619997% 
Shermin-Williams - Price: 70557.851562     Price change: 0.359995% 
Boeing - Price: 17313.011719     Price change: 0.269999% 
Duke Energy - Price: 47784.015625     Price change: 1.989999% 
UnitedHealth Group - Price: 59518.152344     Price change: 0.030002% 
JPMorgan Chase - Price: 53394.417969     Price change: -0.539999% 
McDonalds - Price: 108987.500000     Price change: 0.089999% 
Coca-Cola - Price: 69613.039062     Price change: 2.700003% 
Microsoft - Price: 46958.828125     Price change: -0.430004% 
AT&T - Price: 102369.429688     Price change: 0.919998% 
Day 669: 
ExxonMobil - Price: 52531.070312     Price change: 0.719999% 
Shermin-Williams - Price: 69873.437500     Price change: -0.970004% 
Boeing - Price: 17359.757812     Price change: 0.270006% 
Duke Energy - Price: 48452.992188     Price change: 1.400001% 
UnitedHealth Group - Price: 61095.382812     Price change: 2.649999% 
JPMorgan Chase - Price: 54035.152344     Price change: 1.200003% 
McDonalds - Price: 110796.695312     Price change: 1.660003% 
Coca-Cola - Price: 70977.453125     Price change: 1.959998% 
Microsoft - Price: 47254.667969     Price change: 0.629998% 
AT&T - Price: 100731.515625     Price change: -1.600003% 
Day 670: 
ExxonMobil - Price: 52699.167969     Price change: 0.319997% 
Shermin-Williams - Price: 69503.109375     Price change: -0.529998% 
Boeing - Price: 16913.611328     Price change: -2.570004% 
Duke Energy - Price: 48806.699219     Price change: 0.730000% 
UnitedHealth Group - Price: 60734.921875     Price change: -0.589997% 
JPMorgan Chase - Price: 54521.468750     Price change: 0.900000% 
McDonalds - Price: 111295.281250     Price change: 0.450001% 
Coca-Cola - Price: 71623.351562     Price change: 0.910005% 
Microsoft - Price: 47094.003906     Price change: -0.339996% 
AT&T - Price: 104216.828125     Price change: 3.460002% 
Day 671: 
ExxonMobil - Price: 52730.789062     Price change: 0.060003% 
Shermin-Williams - Price: 68877.578125     Price change: -0.900005% 
Boeing - Price: 16619.314453     Price change: -1.740000% 
Duke Energy - Price: 49382.617188     Price change: 1.179998% 
UnitedHealth Group - Price: 60771.363281     Price change: 0.060001% 
JPMorgan Chase - Price: 54287.027344     Price change: -0.429998% 
McDonalds - Price: 111829.500000     Price change: 0.480001% 
Coca-Cola - Price: 76171.437500     Price change: 6.350004% 
Microsoft - Price: 47687.386719     Price change: 1.259997% 
AT&T - Price: 104133.453125     Price change: -0.080001% 
Day 672: 
ExxonMobil - Price: 52593.687500     Price change: -0.260003% 
Shermin-Williams - Price: 70151.812500     Price change: 1.849999% 
Boeing - Price: 16753.931641     Price change: 0.810004% 
Duke Energy - Price: 52562.859375     Price change: 6.440003% 
UnitedHealth Group - Price: 62959.132812     Price change: 3.600001% 
JPMorgan Chase - Price: 57164.238281     Price change: 5.299997% 
McDonalds - Price: 113629.953125     Price change: 1.609998% 
Coca-Cola - Price: 80673.171875     Price change: 5.910003% 
Microsoft - Price: 47677.847656     Price change: -0.020003% 
AT&T - Price: 109652.523438     Price change: 5.299997% 
Day 673: 
ExxonMobil - Price: 53493.039062     Price change: 1.709999% 
Shermin-Williams - Price: 71176.031250     Price change: 1.460003% 
Boeing - Price: 17080.632812     Price change: 1.949997% 
Duke Energy - Price: 53414.378906     Price change: 1.620002% 
UnitedHealth Group - Price: 62896.171875     Price change: -0.100003% 
JPMorgan Chase - Price: 57701.582031     Price change: 0.940000% 
McDonalds - Price: 115243.500000     Price change: 1.420001% 
Coca-Cola - Price: 81375.031250     Price change: 0.870003% 
Microsoft - Price: 48421.621094     Price change: 1.559998% 
AT&T - Price: 112086.812500     Price change: 2.220003% 
Day 674: 
ExxonMobil - Price: 54172.402344     Price change: 1.270003% 
Shermin-Williams - Price: 71418.031250     Price change: 0.340002% 
Boeing - Price: 17155.787109     Price change: 0.439997% 
Duke Energy - Price: 55422.757812     Price change: 3.759997% 
UnitedHealth Group - Price: 63437.078125     Price change: 0.859999% 
JPMorgan Chase - Price: 58272.828125     Price change: 0.990001% 
McDonalds - Price: 121524.273438     Price change: 5.450002% 
Coca-Cola - Price: 81602.882812     Price change: 0.280002% 
Microsoft - Price: 49540.160156     Price change: 2.309999% 
AT&T - Price: 111716.929688     Price change: -0.329997% 
Day 675: 
ExxonMobil - Price: 54703.292969     Price change: 0.980002% 
Shermin-Williams - Price: 72767.835938     Price change: 1.890005% 
Boeing - Price: 17224.410156     Price change: 0.399999% 
Duke Energy - Price: 57168.574219     Price change: 3.149999% 
UnitedHealth Group - Price: 62878.832031     Price change: -0.880000% 
JPMorgan Chase - Price: 58063.046875     Price change: -0.359998% 
McDonalds - Price: 120807.281250     Price change: -0.589999% 
Coca-Cola - Price: 80623.648438     Price change: -1.200000% 
Microsoft - Price: 50174.273438     Price change: 1.279998% 
AT&T - Price: 111482.320312     Price change: -0.210003% 
Day 676: 
ExxonMobil - Price: 55879.414062     Price change: 2.150001% 
Shermin-Williams - Price: 74048.546875     Price change: 1.759996% 
Boeing - Price: 17444.882812     Price change: 1.280001% 
Duke Energy - Price: 57494.433594     Price change: 0.569997% 
UnitedHealth Group - Price: 63180.652344     Price change: 0.480003% 
JPMorgan Chase - Price: 58829.480469     Price change: 1.320002% 
McDonalds - Price: 120046.195312     Price change: -0.630000% 
Coca-Cola - Price: 79736.789062     Price change: -1.099999% 
Microsoft - Price: 50440.195312     Price change: 0.529996% 
AT&T - Price: 113466.703125     Price change: 1.779998% 
Day 677: 
ExxonMobil - Price: 56136.460938     Price change: 0.460003% 
Shermin-Williams - Price: 74855.679688     Price change: 1.090005% 
Boeing - Price: 18139.189453     Price change: 3.980002% 
Duke Energy - Price: 57931.390625     Price change: 0.759999% 
UnitedHealth Group - Price: 63799.824219     Price change: 0.980002% 
JPMorgan Chase - Price: 58788.300781     Price change: -0.069998% 
McDonalds - Price: 121702.835938     Price change: 1.380003% 
Coca-Cola - Price: 87144.335938     Price change: 9.289999% 
Microsoft - Price: 51080.785156     Price change: 1.269999% 
AT&T - Price: 114340.398438     Price change: 0.770001% 
Day 678: 
ExxonMobil - Price: 55928.757812     Price change: -0.369997% 
Shermin-Williams - Price: 77288.492188     Price change: 3.250004% 
Boeing - Price: 18295.185547     Price change: 0.859995% 
Duke Energy - Price: 61888.105469     Price change: 6.830001% 
UnitedHealth Group - Price: 65866.937500     Price change: 3.239998% 
JPMorgan Chase - Price: 59734.792969     Price change: 1.610001% 
McDonalds - Price: 126084.140625     Price change: 3.600002% 
Coca-Cola - Price: 87675.914062     Price change: 0.609997% 
Microsoft - Price: 51918.511719     Price change: 1.640003% 
AT&T - Price: 112476.648438     Price change: -1.630001% 
Day 679: 
ExxonMobil - Price: 56465.675781     Price change: 0.960003% 
Shermin-Williams - Price: 77899.070312     Price change: 0.789999% 
Boeing - Price: 18756.224609     Price change: 2.520002% 
Duke Energy - Price: 62209.921875     Price change: 0.519997% 
UnitedHealth Group - Price: 67500.437500     Price change: 2.480000% 
JPMorgan Chase - Price: 60989.222656     Price change: 2.099998% 
McDonalds - Price: 128530.171875     Price change: 1.939999% 
Coca-Cola - Price: 89569.710938     Price change: 2.159997% 
Microsoft - Price: 52718.058594     Price change: 1.540003% 
AT&T - Price: 113331.468750     Price change: 0.759998% 
Day 680: 
ExxonMobil - Price: 57962.015625     Price change: 2.649999% 
Shermin-Williams - Price: 78304.148438     Price change: 0.520004% 
Boeing - Price: 19431.449219     Price change: 3.600003% 
Duke Energy - Price: 66788.570312     Price change: 7.359997% 
UnitedHealth Group - Price: 67540.937500     Price change: 0.060000% 
JPMorgan Chase - Price: 60934.332031     Price change: -0.090001% 
McDonalds - Price: 132424.640625     Price change: 3.030004% 
Coca-Cola - Price: 88575.484375     Price change: -1.110003% 
Microsoft - Price: 53688.070312     Price change: 1.839999% 
AT&T - Price: 103029.640625     Price change: -9.089998% 
Day 681: 
ExxonMobil - Price: 58976.351562     Price change: 1.750001% 
Shermin-Williams - Price: 77889.132812     Price change: -0.530005% 
Boeing - Price: 19410.074219     Price change: -0.110002% 
Duke Energy - Price: 65813.460938     Price change: -1.459994% 
UnitedHealth Group - Price: 66642.640625     Price change: -1.330004% 
JPMorgan Chase - Price: 62628.304688     Price change: 2.779997% 
McDonalds - Price: 136662.234375     Price change: 3.200004% 
Coca-Cola - Price: 86892.546875     Price change: -1.900004% 
Microsoft - Price: 55019.535156     Price change: 2.480001% 
AT&T - Price: 101556.320312     Price change: -1.429997% 
Day 682: 
ExxonMobil - Price: 59678.171875     Price change: 1.190003% 
Shermin-Williams - Price: 77188.132812     Price change: -0.899997% 
Boeing - Price: 19068.457031     Price change: -1.759999% 
Duke Energy - Price: 65695.000000     Price change: -0.179995% 
UnitedHealth Group - Price: 66942.531250     Price change: 0.449998% 
JPMorgan Chase - Price: 63204.484375     Price change: 0.919999% 
McDonalds - Price: 137044.890625     Price change: 0.280001% 
Coca-Cola - Price: 89455.875000     Price change: 2.949998% 
Microsoft - Price: 54507.851562     Price change: -0.930003% 
AT&T - Price: 101200.875000     Price change: -0.349998% 
Day 683: 
ExxonMobil - Price: 60179.468750     Price change: 0.840000% 
Shermin-Williams - Price: 77643.539062     Price change: 0.589995% 
Boeing - Price: 19882.679688     Price change: 4.269998% 
Duke Energy - Price: 63303.703125     Price change: -3.639998% 
UnitedHealth Group - Price: 67042.945312     Price change: 0.150000% 
JPMorgan Chase - Price: 63419.378906     Price change: 0.339999% 
McDonalds - Price: 136318.546875     Price change: -0.530004% 
Coca-Cola - Price: 89536.382812     Price change: 0.089997% 
Microsoft - Price: 55576.207031     Price change: 1.960003% 
AT&T - Price: 101514.601562     Price change: 0.310004% 
Day 684: 
ExxonMobil - Price: 60594.707031     Price change: 0.690000% 
Shermin-Williams - Price: 76199.367188     Price change: -1.860003% 
Boeing - Price: 21405.693359     Price change: 7.660002% 
Duke Energy - Price: 64360.875000     Price change: 1.670000% 
UnitedHealth Group - Price: 66794.882812     Price change: -0.370005% 
JPMorgan Chase - Price: 64389.695312     Price change: 1.530000% 
McDonalds - Price: 137409.093750     Price change: 0.799999% 
Coca-Cola - Price: 91353.968750     Price change: 2.029997% 
Microsoft - Price: 55765.167969     Price change: 0.340003% 
AT&T - Price: 104428.070312     Price change: 2.870000% 
Day 685: 
ExxonMobil - Price: 60528.054688     Price change: -0.109997% 
Shermin-Williams - Price: 76473.687500     Price change: 0.360003% 
Boeing - Price: 21332.914062     Price change: -0.340000% 
Duke Energy - Price: 64740.605469     Price change: 0.590002% 
UnitedHealth Group - Price: 66394.117188     Price change: -0.599995% 
JPMorgan Chase - Price: 67319.429688     Price change: 4.550005% 
McDonalds - Price: 140390.875000     Price change: 2.170003% 
Coca-Cola - Price: 92806.500000     Price change: 1.590003% 
Microsoft - Price: 57053.343750     Price change: 2.310001% 
AT&T - Price: 106119.804688     Price change: 1.620000% 
Day 686: 
ExxonMobil - Price: 63935.785156     Price change: 5.630002% 
Shermin-Williams - Price: 77184.890625     Price change: 0.929997% 
Boeing - Price: 22354.759766     Price change: 4.789996% 
Duke Energy - Price: 64449.273438     Price change: -0.449999% 
UnitedHealth Group - Price: 67642.328125     Price change: 1.880002% 
JPMorgan Chase - Price: 68093.601562     Price change: 1.149998% 
McDonalds - Price: 142005.375000     Price change: 1.150004% 
Coca-Cola - Price: 96203.218750     Price change: 3.660001% 
Microsoft - Price: 57327.199219     Price change: 0.479999% 
AT&T - Price: 106618.570312     Price change: 0.470002% 
Day 687: 
ExxonMobil - Price: 63424.300781     Price change: -0.799997% 
Shermin-Williams - Price: 76798.968750     Price change: -0.499997% 
Boeing - Price: 22526.890625     Price change: 0.769996% 
Duke Energy - Price: 64919.753906     Price change: 0.730001% 
UnitedHealth Group - Price: 68589.320312     Price change: 1.399999% 
JPMorgan Chase - Price: 67460.328125     Price change: -0.930004% 
McDonalds - Price: 139932.093750     Price change: -1.460002% 
Coca-Cola - Price: 96693.851562     Price change: 0.509996% 
Microsoft - Price: 57608.101562     Price change: 0.489998% 
AT&T - Price: 108740.281250     Price change: 1.990001% 
Day 688: 
ExxonMobil - Price: 65022.593750     Price change: 2.520001% 
Shermin-Williams - Price: 76937.203125     Price change: 0.179995% 
Boeing - Price: 22673.314453     Price change: 0.649996% 
Duke Energy - Price: 64614.632812     Price change: -0.469997% 
